Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Lux,IR,Full_Spectrum,Temp,Humidity,Switch_Pressed
2024-03-09T10:56:13,-0.11246266220000001,0.06759723845,9.642476872349999,0.12202033133005358,-0.07452555906015788,0.05513058774737089,-0.9742600000000001,0.6606600000000001,-1.64514,0.0,0,0,16.5,38,0
2024-03-09T10:56:14,-0.12442677519999999,0.0681954441,9.741180804599999,0.11942415406771201,-0.07666358739385093,0.05482515512827188,-0.9737,0.6626200000000001,-1.64108,30.622847999999994,49,3211532,17.5,38,0
2024-03-09T10:56:15,-0.09631110964999999,0.06999006104999998,9.820742156049999,-0.10262536001726659,0.01756237559819294,-0.022449297503777065,-0.9823800000000001,0.66122,-1.64542,30.786047999999994,49,3211533,17.5,38,0
2024-03-09T10:56:17,-0.08135596839999999,0.06400800455,9.839286531199999,-0.02901609881440573,0.0044287729769356115,-0.009621127501618741,-0.9692200000000002,0.65674,-1.6413600000000002,30.786047999999994,49,3211533,17.5,38,0
2024-03-09T10:56:18,-0.0789631458,0.0526420972,9.809974454349998,-0.02901609881440573,0.004123340357836604,-0.012217304763960308,-0.9717400000000002,0.6587000000000001,-1.6401000000000001,30.786047999999994,49,3211533,17.5,37,0
2024-03-09T10:56:19,-0.06640082715,0.09092725880000001,9.812367276949999,-0.031001410838549282,0.006719517620178169,-0.011759155835311796,-0.9706200000000001,0.6620600000000001,-1.6511600000000002,30.786047999999994,49,3211533,17.5,37,0
2024-03-09T10:56:20,-0.09750752095,0.06101697629999999,9.838688325549999,-0.031154127148098783,0.003207042500539581,-0.01145372321621279,-0.9753800000000001,0.6539400000000001,-1.6522800000000002,30.622847999999994,49,3211532,17.5,35,0
2024-03-09T10:56:21,-0.09690931529999999,0.07836494014999999,9.847661410299999,-0.027488935718910694,0.003970624048287101,-0.012064588454410803,-0.9734200000000001,0.6665400000000001,-1.6555000000000002,30.949247999999997,49,3211534,17.5,35,0
2024-03-09T10:56:22,-0.1088734283,0.06520441585,9.83390268035,-0.02825251726665821,0.00473420559603462,-0.012828170002158324,-0.9798600000000002,0.6581400000000001,-1.6465400000000001,30.949247999999997,49,3211534,17.5,34,0
2024-03-09T10:56:23,-0.1112662509,0.08673981925,9.835697297299998,-0.03329215548179184,0.004123340357836604,-0.016798794050445424,-0.97594,0.6489000000000001,-1.6562000000000001,30.786047999999994,49,3211533,18.5,34,0
2024-03-09T10:56:24,-0.08195417405,0.07118647234999999,9.853643466800001,-0.031459559767197796,0.007177666548826681,-0.013286318930806834,-0.9753800000000001,0.6603800000000001,-1.64514,30.949247999999997,49,3211534,17.5,33,0
2024-03-09T10:56:26,-0.11964112999999998,0.05682953674999999,9.836893708599998,-0.027488935718910694,0.006414085001079162,-0.013591751549905842,-0.9765000000000001,0.6654200000000001,-1.6380000000000001,30.786047999999994,49,3211533,18.5,33,0
