timestamp,id,hertz,acceleration,magnetic,gyro
2024-02-23T22:04:45.156155,2,10,"[-0.96370930215, 0.19561324754999998, 9.871589636299998]","[0.22834000000000004, -0.4081, -0.38822]","[-0.007483099167925688, -0.0009162978572970231, -0.014966198335851376]"
2024-02-23T22:04:45.256224,2,10,"[-0.9487541609, 0.215354034, 9.878768104099999]","[0.21882000000000001, -0.40642, -0.38402000000000003]","[-0.006566801310628666, -0.004276056667386108, -0.00946841119206924]"
2024-02-23T22:04:45.356346,2,10,"[-0.9230313179499999, 0.19860427579999998, 9.900303507499999]","[0.22134000000000004, -0.4025000000000001, -0.40166]","[-0.006261368691529657, -0.0068722339297276735, -0.010842857978014774]"
2024-02-23T22:04:45.456410,2,10,"[-0.93738825355, 0.1698904046, 9.85902731765]","[0.22722000000000003, -0.40698, -0.39158000000000004]","[-0.008552113334772215, -0.007941248096574201, -0.011759155835311796]"
2024-02-23T22:04:45.556472,2,10,"[-0.9672985360499999, 0.15254244074999998, 9.850652438549998]","[0.23170000000000002, -0.39914000000000005, -0.3861200000000001]","[-0.005192354524683131, -0.005345070834232635, -0.014355333097653362]"
2024-02-23T22:04:45.656548,2,10,"[-0.95413801175, 0.17766707805, 9.887142983199999]","[0.22302000000000002, -0.39858000000000005, -0.39270000000000005]","[-0.005345070834232635, -0.003970624048287101, -0.012675453692608819]"
2024-02-23T22:04:45.756579,2,10,"[-1.08215402085, 0.29371897415, 9.6861458848]","[0.22554000000000002, -0.39438000000000006, -0.38948]","[-0.010384709049366262, -0.009315694882519735, -0.00946841119206924]"
2024-02-23T22:04:45.856643,2,10,"[-1.0199406332499998, 0.23629123174999997, 9.681958445249998]","[0.22190000000000004, -0.40278, -0.3960600000000001]","[0.007635815477475193, -0.062002821677098564, -0.009926560120717751]"
2024-02-23T22:04:45.956726,2,10,"[-0.5802594805, 0.48335016519999996, 9.90090171315]","[0.22498, -0.40026000000000006, -0.3941]","[-0.10109819692177155, 0.049327367984489744, 0.049938233222687756]"
2024-02-23T22:04:46.056756,2,10,"[-1.62652116235, 0.40677984199999995, 10.4422778264]","[0.22358, -0.39326000000000005, -0.39522]","[-0.16142113919382559, 0.024740042147019626, -0.2771801018323495]"
2024-02-23T22:04:46.156817,2,10,"[-1.43270253175, 0.056231331100000004, 12.333205886049997]","[0.23758, -0.38514000000000004, -0.39214000000000004]","[0.25457808801902293, 0.21609357801254794, -0.04673119072214818]"
2024-02-23T22:04:46.256876,2,10,"[-1.5996019081, -0.4354937132, 12.3517502612]","[0.26978, -0.30870000000000003, -0.40362000000000003]","[-0.015729779883598898, 0.0035124751196385882, 0.04886921905584123]"
2024-02-23T22:04:46.356934,2,10,"[-0.7034898444000001, 0.19441683624999997, 10.5750794807]","[0.31262, -0.21126000000000003, -0.4432400000000001]","[0.23121249265794883, 0.2257147055141667, 0.05849034655745997]"
2024-02-23T22:04:46.457045,2,10,"[-0.9559326286999998, 0.2787638329, 8.94975472965]","[0.32466, -0.11802000000000001, -0.5042800000000001]","[0.12156218240140507, 0.3181080727916165, 0.07605272215565292]"
2024-02-23T22:04:46.557103,2,10,"[0.0765703232, 0.1698904046, 8.828318982699999]","[0.32662, -0.07266000000000002, -0.5279400000000001]","[0.24419337896965665, 0.32116239898260657, 0.09453139561114289]"
2024-02-23T22:04:46.657226,2,10,"[0.12442677519999999, -0.26979074815, 7.84785992235]","[0.32354, -0.034300000000000004, -0.5345200000000001]","[0.0276416520284602, 0.016951510359994926, -0.06948592084502425]"
2024-02-23T22:04:46.757290,2,10,"[-0.2608176634, -0.1698904046, 7.2352973367499995]","[0.33194000000000007, -0.03234, -0.54922]","[0.13377948716536536, -0.1030835089459151, -0.007941248096574201]"
